Watchlist 'premarket'

premarket
Symbol,Mark,Mark %Change,Strength Meter
$DXY,80.6270,,N/A
$DJI,15914.620,,N/A
COMP,4037.198,,N/A
XNCR,8.340,,N/A
OMED,27.700,+97.86%,N/A
ETRM,2.2400,+63.50%,Uptrend
REX,37.490,+22.32%,N/A
CNAT,7.250,+18.08%,N/A
TSLA,144.300,+16.21%,Range Bound
UNIS,4.790,+15.42%,Uptrend
BAXS,1.1800,+13.46%,Range Bound
MTL,2.1400,+8.63%,Downtrend
SFXE,10.490,+8.59%,Uptrend
ROMA,20.780,+7.61%,N/A
KTOS,6.770,+5.45%,Range Bound
FRO,3.500,+5.42%,Uptrend
GRPN,9.120,+4.23%,Downtrend
DCO,26.400,+4.14%,Range Bound
ENVI,2.9800,+3.47%,Range Bound
DARA,.5000,+3.31%,N/A
ABBV,49.970,+3.27%,Range Bound
USO,34.700,+3.03%,Range Bound
ERF,18.540,+2.94%,Range Bound
AAPL,566.322,+2.74%,Range Bound
DECK,86.200,+2.67%,Uptrend
MU,21.830,+2.63%,Uptrend
NAVB,1.6600,+2.47%,Range Bound
ISBC,24.100,+2.47%,Range Bound
CVU,14.880,+1.92%,Range Bound
HPQ,27.820,+1.83%,Range Bound
SU,35.310,+1.82%,Range Bound
TSS,31.320,+1.72%,Range Bound
NYLD,36.690,+1.61%,Range Bound
LTXC,7.210,+1.55%,Uptrend
DDD,78.020,+1.47%,Uptrend
MDLZ,33.900,+1.38%,Range Bound
SWC,11.180,+1.36%,Range Bound
AIR,30.560,+1.29%,Range Bound
EBAY,52.000,+1.27%,Range Bound
XOM,94.550,+1.10%,Range Bound
SGMS,17.780,+1.02%,Range Bound
PBH,35.000,+0.92%,Range Bound
IR,56.030,+0.85%,Downtrend
EGN,71.710,+0.84%,Range Bound
HAWK,22.540,+0.81%,Range Bound
FLIR,29.570,+0.75%,Range Bound
KRNY,10.340,+0.68%,N/A
MUR,65.550,+0.66%,Range Bound
WDC,75.920,+0.64%,Range Bound
HOLX,22.450,+0.63%,Range Bound
ACN,76.790,+0.60%,Range Bound
COTY,16.200,+0.50%,Range Bound
GLD,117.960,+0.32%,Range Bound
SLH,67.070,+0.31%,Range Bound
HES,81.150,+0.30%,Range Bound
RDS/A,66.640,+0.27%,Range Bound
BDX,108.410,+0.27%,Range Bound
HRS,64.210,+0.27%,Range Bound
CACI,72.130,+0.26%,Range Bound
CVX,122.650,+0.25%,Range Bound
POT,31.790,+0.25%,Range Bound
VGIT,63.800,+0.24%,N/A
OIS,102.390,+0.23%,Range Bound
TENZ,81.777,+0.23%,N/A
IVR,14.820,+0.20%,Range Bound
IEF,101.270,+0.18%,Range Bound
VAR,79.370,+0.16%,Range Bound
UNG,19.380,+0.16%,Range Bound
SCHR,52.810,+0.15%,N/A
CWH,23.640,+0.13%,Range Bound
HTGC,16.780,+0.12%,Range Bound
IEI,121.500,+0.09%,Range Bound
VGSH,60.990,+0.07%,N/A
FIVZ,79.670,+0.06%,N/A
BP,46.670,+0.04%,Range Bound
SHY,84.520,+0.02%,Range Bound
TUZ,50.940,+0.02%,N/A
CGC,6.560,0.00%,N/A
/ZN[H4],125'030,0.00%,N/A
FCX,34.240,-0.06%,Range Bound
/ZB[H4],130'03,-0.07%,N/A
WAC,37.530,-0.11%,Uptrend
GOOG,1053.260,-0.12%,Range Bound
SLV,18.430,-0.16%,Downtrend
RDS/B,69.360,-0.17%,Range Bound
ABX,15.510,-0.19%,Downtrend
KGC,4.510,-0.22%,Range Bound
CLR,107.750,-0.23%,Range Bound
TSEM,4.040,-0.25%,N/A
IMUC,3.230,-0.31%,Uptrend
TRP,44.360,-0.31%,Range Bound
SPX,1795.150,-0.32%,Range Bound
QUNR,25.870,-0.35%,N/A
GE,26.560,-0.38%,Range Bound
MPC,87.010,-0.46%,Uptrend
PLCM,10.580,-0.47%,Range Bound
NBS,6.290,-0.47%,Range Bound
MCK,163.870,-0.49%,Range Bound
NCQ,2.0100,-0.50%,Range Bound
CME,80.970,-0.52%,Range Bound
ALLE,42.900,-0.56%,N/A
PH,116.540,-0.60%,Range Bound
ADBE,56.400,-0.63%,Range Bound
SBUX,80.550,-0.64%,Range Bound
EMC,23.560,-0.67%,Range Bound
FB,46.730,-0.70%,Range Bound
IBM,176.080,-0.79%,Range Bound
IPXL,23.180,-0.86%,Range Bound
CAJ,32.560,-0.88%,Range Bound
ZGNX,3.210,-0.93%,N/A
OREX,6.120,-0.97%,Uptrend
CAE,11.170,-0.98%,N/A
SNE,18.410,-1.02%,Range Bound
XIN,5.660,-1.05%,Downtrend
PSX,70.600,-1.07%,Range Bound
MPW,12.830,-1.08%,Range Bound
ICE,212.500,-1.11%,Range Bound
PHG,34.970,-1.24%,Range Bound
GWW,254.890,-1.33%,Range Bound
OHI,31.760,-1.34%,Range Bound
DIS,69.900,-1.42%,Range Bound
JEC,58.590,-1.48%,Range Bound
GDX,20.580,-1.53%,Downtrend
SI,129.500,-1.54%,Range Bound
V,201.750,-1.65%,Range Bound
