Watchlist 'premarket'

premarket
Symbol,Mark,Mark %Change,Strength Meter
$DXY,80.7510,,N/A
$DJI,15889.770,,N/A
GSPC,,,N/A
COMP,4038.001,,N/A
CALI,5.740,+95.24%,N/A
CBMX,3.600,+44.00%,N/A
PBYI,54.100,+17.07%,Uptrend
CONN,67.650,+15.72%,Range Bound
RCPT,25.000,+10.13%,N/A
GGP,21.240,+4.73%,Range Bound
CSUN,6.410,+4.57%,Downtrend
SCTY,53.900,+3.32%,Range Bound
EQIX,166.080,+2.65%,Range Bound
DG,57.600,+2.18%,Range Bound
OMC,70.760,+1.92%,Range Bound
DYAX,8.550,+1.79%,Range Bound
NUAN,14.370,+1.55%,Range Bound
AAPL,573.710,+1.54%,Range Bound
TIF,89.850,+1.43%,Range Bound
SPR,32.060,+1.33%,Range Bound
KSS,55.100,+1.32%,Range Bound
TSLA,140.500,+1.12%,Range Bound
UNG,19.490,+0.67%,Range Bound
COO,132.500,+0.47%,Range Bound
FNSR,20.610,+0.34%,Downtrend
FAZ,24.030,+0.25%,Range Bound
JOSB,57.010,+0.21%,Uptrend
USO,34.930,+0.14%,Range Bound
QQQ,85.600,+0.13%,Range Bound
XLK,34.700,+0.03%,Range Bound
UTIW,15.560,0.00%,Range Bound
SPX,1792.810,0.00%,Range Bound
BKE,51.350,0.00%,Range Bound
CHD,66.030,0.00%,Range Bound
IEI,121.280,0.00%,Range Bound
EXI,67.900,0.00%,N/A
COV,66.910,0.00%,Range Bound
SOXX,69.220,0.00%,Range Bound
ICGE,16.810,0.00%,Range Bound
RAD,6.000,0.00%,Uptrend
TUZ,50.935,0.00%,N/A
SHY,84.500,0.00%,Range Bound
IWM,111.530,0.00%,Range Bound
NDAQ,39.950,0.00%,Uptrend
GE,26.640,0.00%,Range Bound
CMLP,22.450,0.00%,Range Bound
M,52.040,0.00%,Uptrend
VIS,95.612,0.00%,Range Bound
XLP,42.890,0.00%,Range Bound
ACM,28.640,0.00%,Range Bound
XLI,49.560,0.00%,Range Bound
XSD,58.180,0.00%,Range Bound
XLE,86.430,0.00%,Range Bound
CATO,32.360,0.00%,Range Bound
VDC,111.430,0.00%,Range Bound
IGM,86.070,0.00%,N/A
TENZ,81.400,0.00%,N/A
CUB,54.430,0.00%,Range Bound
XRT,87.020,0.00%,Range Bound
XLV,54.610,0.00%,Range Bound
IGV,78.591,0.00%,Range Bound
KTOS,6.690,0.00%,Range Bound
AMTD,28.670,0.00%,Range Bound
CYBX,70.200,0.00%,Uptrend
AEO,16.130,0.00%,Range Bound
SCHR,52.670,0.00%,N/A
MCK,162.740,0.00%,Range Bound
PTC,33.100,0.00%,N/A
FIVE,49.710,0.00%,Range Bound
CEQP,15.110,0.00%,Range Bound
DMND,24.450,0.00%,Range Bound
IBB,220.650,0.00%,Range Bound
RTH,60.238,0.00%,Range Bound
PMR,34.161,0.00%,N/A
TWC,132.200,0.00%,Uptrend
FIVZ,79.519,0.00%,N/A
VHT,100.330,0.00%,Range Bound
VGIT,63.630,0.00%,N/A
IYW,85.490,0.00%,Range Bound
IYK,94.720,0.00%,N/A
ZUMZ,27.290,0.00%,Range Bound
IYJ,96.210,0.00%,Range Bound
IYH,114.838,0.00%,Range Bound
IPK,30.880,0.00%,N/A
ORCL,35.070,0.00%,Range Bound
IYE,49.280,0.00%,Range Bound
RY,64.610,0.00%,Range Bound
CM,84.260,0.00%,Range Bound
BIG,37.160,0.00%,Range Bound
VGSH,60.970,0.00%,N/A
SMRT,14.270,0.00%,Range Bound
IVV,180.610,-0.03%,Range Bound
XLF,21.290,-0.05%,Range Bound
SPY,179.590,-0.08%,Range Bound
FAS,81.890,-0.10%,Range Bound
IEF,100.650,-0.16%,Range Bound
KR,41.450,-0.17%,Range Bound
/ZB[H4],128'29,-0.19%,N/A
EEM,41.190,-0.19%,Range Bound
/ZN[H4],124'110,-0.21%,N/A
JCP,9.630,-0.31%,Uptrend
SFUN,73.500,-0.35%,Uptrend
TD,89.250,-0.44%,Range Bound
VXX,46.270,-0.47%,Range Bound
TGT,63.000,-0.49%,Range Bound
XOM,94.190,-0.51%,Range Bound
LB,62.900,-0.55%,N/A
GTAT,8.870,-0.56%,Downtrend
COST,121.840,-0.92%,Range Bound
ECOL,34.340,-0.95%,Range Bound
FB,48.070,-1.13%,Range Bound
SJM,103.450,-1.24%,Range Bound
GLD,118.130,-1.53%,Range Bound
SLV,18.610,-2.05%,Range Bound
NLY,9.840,-2.09%,Range Bound
ARO,8.990,-3.95%,Range Bound
OCLS,4.520,-4.64%,N/A
TITN,14.510,-9.14%,Downtrend
FRAN,15.950,-11.88%,Range Bound
SOL,3.840,-15.23%,Range Bound
