premarket

premarket
Symbol,Mark,Mark %Change,Strength Meter
$DXY,80.1460,,N/A
$DJI,16026.620,,N/A
GSPC,,,N/A
SLT,6.120,,Downtrend
ECP,,,N/A
COMP,4068.751,,N/A
HEB,.31510,+59.95%,N/A
GIVN,30.060,+27.10%,Uptrend
CNDO,1.9500,+13.37%,Uptrend
ADXS,3.940,+9.75%,Uptrend
SYY,37.620,+9.65%,Uptrend
KPTI,18.310,+8.28%,N/A
CRNT,2.6900,+6.75%,Range Bound
RAIL,24.430,+5.67%,Range Bound
GLPI,49.740,+5.25%,Uptrend
WWAV,22.920,+5.23%,Range Bound
IBN,40.480,+5.03%,Uptrend
COG,36.820,+4.60%,Uptrend
MTRX,22.160,+3.55%,Range Bound
UNG,20.700,+2.63%,Uptrend
INFI,15.340,+2.61%,Uptrend
TEX,38.720,+2.46%,Range Bound
CBI,78.610,+2.41%,Range Bound
SPEX,8.950,+2.40%,N/A
CELG,170.010,+2.15%,Uptrend
KRFT,54.500,+1.77%,Range Bound
TXMD,4.790,+1.70%,N/A
GILD,75.200,+1.64%,Range Bound
USG,26.020,+1.60%,Range Bound
MZOR,16.820,+1.45%,N/A
CFN,40.240,+1.44%,Range Bound
RY,65.650,+1.28%,Range Bound
IFN,20.900,+1.06%,Range Bound
WIT,12.030,+1.01%,Range Bound
POST,52.480,+0.96%,Uptrend
CHDN,88.890,+0.85%,Range Bound
EPI,17.640,+0.68%,Range Bound
BNS,60.450,+0.68%,Range Bound
CM,85.460,+0.62%,Range Bound
CAH,64.270,+0.53%,Range Bound
TTM,32.300,+0.53%,Range Bound
SIFY,2.0100,+0.50%,Range Bound
PWR,29.670,+0.44%,Range Bound
INP,57.200,+0.40%,Uptrend
RDS/A,67.960,+0.38%,Range Bound
/ZB[H4],129'18,+0.19%,N/A
GG,21.100,+0.19%,Downtrend
HSBC,54.330,+0.18%,Range Bound
SPX,1808.370,+0.18%,Range Bound
VZ,49.550,+0.14%,Range Bound
IEF,100.770,+0.12%,Range Bound
RDY,40.600,+0.10%,Range Bound
COV,68.130,+0.09%,Range Bound
/ZN[H4],124'145,+0.09%,N/A
VGIT,63.510,+0.08%,N/A
NDAQ,38.900,+0.05%,Range Bound
SCHR,52.570,+0.02%,N/A
VGSH,60.960,+0.02%,N/A
IEI,121.080,+0.02%,Range Bound
TUZ,50.916,+0.01%,N/A
SHY,84.480,+0.01%,Range Bound
CHTP,3.740,0.00%,Uptrend
HBC,55.210,0.00%,N/A
FIVZ,79.390,0.00%,N/A
EQU,5.370,0.00%,Uptrend
OMCL,24.180,-0.21%,Range Bound
BRX,20.130,-0.30%,Range Bound
QLTI,5.820,-0.34%,Uptrend
LGND,53.845,-0.36%,Uptrend
USO,34.910,-0.40%,Range Bound
AXAS,3.515,-0.42%,Range Bound
REDF,2.2600,-0.44%,Range Bound
INFY,55.190,-0.52%,Range Bound
SGMO,12.400,-0.56%,Uptrend
EME,40.040,-0.62%,Range Bound
CG,32.770,-0.67%,Range Bound
REXR,13.860,-0.86%,Range Bound
SOL,2.9900,-0.99%,Downtrend
ACM,28.750,-1.00%,Range Bound
TLM,11.670,-1.02%,Range Bound
THLD,4.780,-1.04%,Range Bound
MCD,95.720,-1.12%,Range Bound
MDXG,6.900,-1.15%,Uptrend
ACUR,1.6700,-1.18%,Range Bound
NBL,68.590,-1.31%,Range Bound
CTSH,94.800,-1.46%,Range Bound
QEP,30.960,-1.50%,Range Bound
DYAX,8.110,-1.58%,Range Bound
INXN,20.830,-1.75%,Range Bound
DF,18.080,-1.90%,Range Bound
MMYT,18.960,-1.96%,Uptrend
EBS,22.250,-2.03%,Range Bound
CSIQ,26.990,-2.10%,Downtrend
MYGN,24.740,-2.79%,Range Bound
CYCC,4.610,-4.16%,Range Bound
LAYN,15.020,-4.45%,Range Bound
ONTX,15.060,-7.15%,N/A
NIHD,2.4100,-8.71%,Downtrend
PLUG,1.6000,-22.29%,Uptrend
