Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Strength Meter
TENZ/GSPTSE,,,N/A
PHM/V,,,N/A
$DXY,80.5720,,N/A
PAF4,,,N/A
APPL,0,,N/A
$DJI,16170.920,,N/A
SIH4,,,N/A
GQ/V,,,N/A
JYN,56.600,,N/A
GRP/U,34.520,,N/A
GSPC,,,N/A
HGF4,,,N/A
$GSPTSE,,,N/A
GCG4,,,N/A
IXIC,,,N/A
DJIA,,,N/A
CLF4,,,N/A
AMC,19.000,,N/A
VSR/V,,,N/A
COMP,4070.064,,N/A
PLF4,,,N/A
EONC,2.3300,+87.90%,N/A
SYNM,3.340,+35.77%,Range Bound
VCI,34.600,+22.26%,Uptrend
DEPO,9.820,+17.60%,Uptrend
OMER,10.490,+17.60%,Uptrend
BCRX,7.020,+8.33%,Uptrend
CGNX,36.480,+6.54%,Uptrend
LEN,37.430,+6.34%,Range Bound
FAS,86.020,+5.98%,Range Bound
ARTX,2.8700,+5.90%,N/A
GRPN,11.270,+5.62%,Uptrend
REGI,11.100,+5.11%,Range Bound
GILD,73.590,+5.01%,Range Bound
OSIR,15.680,+4.81%,Range Bound
NRZ,6.750,+4.65%,Uptrend
LII,85.080,+4.64%,Range Bound
NOK,7.690,+4.48%,Range Bound
ZAGG,4.070,+4.36%,Range Bound
CVS,69.690,+4.31%,Range Bound
KERX,12.990,+4.25%,Range Bound
REGN,271.720,+3.76%,Range Bound
EQM,54.790,+3.59%,Range Bound
NX,18.040,+3.56%,Range Bound
FFBC,17.140,+3.50%,Range Bound
SPB,69.920,+3.23%,Range Bound
WU,17.000,+3.22%,Range Bound
MTW,22.360,+3.18%,Uptrend
WHR,156.150,+3.05%,Range Bound
NICK,15.740,+3.01%,N/A
XOM,99.540,+2.88%,Range Bound
IBB,219.380,+2.81%,Range Bound
KOG,10.820,+2.75%,Range Bound
NLS,8.010,+2.69%,Range Bound
EROS,10.000,+2.67%,N/A
ILMN,104.620,+2.57%,Range Bound
C,51.980,+2.54%,Range Bound
JPM,57.110,+2.49%,Range Bound
XLV,54.980,+2.48%,Range Bound
CVX,121.590,+2.40%,Range Bound
CNO,17.240,+2.38%,Range Bound
ROK,113.110,+2.33%,Range Bound
GD,93.550,+2.31%,Range Bound
EMR,67.940,+2.23%,Range Bound
XLF,21.590,+2.23%,Range Bound
HCA,46.550,+2.22%,Range Bound
VHT,100.690,+2.21%,Range Bound
URI,75.720,+2.19%,Uptrend
PHG,35.730,+2.14%,Range Bound
BBT,36.250,+2.14%,Range Bound
SRLP,17.440,+2.11%,N/A
IYH,114.940,+2.10%,Range Bound
LMT,143.730,+2.04%,Range Bound
UTX,109.810,+2.03%,Range Bound
MRK,48.850,+1.98%,Range Bound
SU,34.140,+1.91%,Range Bound
PSX,73.980,+1.90%,Range Bound
BX,30.350,+1.81%,Range Bound
RTH,60.800,+1.77%,Range Bound
SNE,17.550,+1.74%,Range Bound
ROSE,49.270,+1.73%,Range Bound
IVV,182.670,+1.73%,Range Bound
KRFT,53.340,+1.73%,Range Bound
RGDX,1.1800,+1.72%,N/A
XRT,86.900,+1.71%,Range Bound
SPY,181.640,+1.67%,Range Bound
XLI,51.060,+1.67%,Range Bound
SPX,1810.650,+1.66%,Range Bound
IYJ,98.930,+1.66%,Range Bound
XLP,42.760,+1.66%,Range Bound
HES,80.830,+1.66%,Range Bound
VDC,111.150,+1.63%,Range Bound
HAR,84.390,+1.63%,Range Bound
VIS,98.400,+1.58%,Range Bound
IYE,49.460,+1.56%,Range Bound
MPC,87.420,+1.54%,Range Bound
BP,46.220,+1.54%,Range Bound
PMR,34.279,+1.54%,N/A
RDS/A,68.470,+1.53%,Range Bound
XLE,86.640,+1.48%,Range Bound
EXI,69.010,+1.43%,N/A
IPK,31.320,+1.42%,N/A
GOOG,1084.750,+1.39%,Range Bound
IWM,112.890,+1.38%,Range Bound
TRP,44.630,+1.36%,Range Bound
IGV,79.390,+1.35%,Range Bound
PSEC,11.330,+1.34%,Range Bound
QQQ,86.260,+1.30%,Range Bound
GE,27.380,+1.29%,Range Bound
SI,132.250,+1.26%,Range Bound
MUR,63.900,+1.25%,Range Bound
RAX,37.610,+1.24%,Range Bound
DAL,27.250,+1.15%,Range Bound
IYK,95.030,+1.13%,N/A
BLRX,2.7700,+1.09%,N/A
EEM,41.300,+1.08%,Range Bound
EUO,17.240,+1.06%,Range Bound
RRTS,25.190,+0.92%,Range Bound
XLK,34.840,+0.90%,Range Bound
RY,65.370,+0.86%,Range Bound
LVS,78.000,+0.85%,Uptrend
REXR,13.210,+0.84%,Range Bound
FCX,35.180,+0.80%,Range Bound
NDAQ,39.595,+0.73%,Range Bound
IGM,86.948,+0.72%,N/A
ADEP,13.140,+0.69%,Uptrend
IYW,85.900,+0.67%,Range Bound
GSK,51.340,+0.57%,Range Bound
SOXX,70.770,+0.53%,Range Bound
/DX[H4],80.6650,+0.52%,N/A
FWLT,32.000,+0.50%,Uptrend
FDX,139.750,+0.47%,Range Bound
USO,35.030,+0.46%,Range Bound
COP,69.350,+0.42%,Range Bound
UUP,21.630,+0.42%,Range Bound
BNCN,15.510,+0.32%,N/A
GIS,49.730,+0.30%,Range Bound
XSD,59.740,+0.13%,Range Bound
CM,84.400,+0.13%,Range Bound
VGSH,60.990,+0.05%,N/A
JCI,51.340,+0.04%,Range Bound
TUZ,50.890,+0.02%,N/A
SHY,84.490,0.00%,Range Bound
/ZB[H4],129'08,0.00%,N/A
BMO,65.120,0.00%,Range Bound
NLSN,45.140,-0.02%,Range Bound
UNG,20.910,-0.05%,Uptrend
FIVZ,78.931,-0.09%,N/A
VGIT,63.420,-0.14%,N/A
/ZN[H4],124'035,-0.15%,N/A
IEI,120.910,-0.17%,Range Bound
SPPI,8.240,-0.18%,Downtrend
SCHR,52.480,-0.19%,N/A
SLV,19.090,-0.26%,Range Bound
BA,135.450,-0.32%,Range Bound
UUPT,19.100,-0.37%,N/A
IEF,100.550,-0.38%,Range Bound
PCYC,99.280,-0.42%,Downtrend
KMG,16.500,-0.48%,N/A
FXE,135.400,-0.50%,Range Bound
UDN,26.940,-0.52%,Range Bound
BBRY,6.060,-0.74%,Range Bound
UDNT,17.320,-0.74%,N/A
AAPL,550.560,-0.80%,Range Bound
GOLD,63.350,-0.83%,Range Bound
GLD,117.550,-0.93%,Range Bound
EE,34.290,-1.12%,Range Bound
KTOS,6.810,-1.30%,Range Bound
ALCS,10.550,-1.31%,N/A
XLRN,27.210,-1.48%,N/A
ABX,16.910,-1.69%,Range Bound
KGC,4.520,-1.74%,Range Bound
IRBT,35.670,-2.83%,Range Bound
EPV,16.460,-2.95%,Range Bound
STLD,18.330,-3.22%,Range Bound
WPX,19.150,-3.58%,Range Bound
FAZ,22.680,-5.85%,Range Bound
VXX,44.320,-6.20%,Range Bound
F,15.660,-6.23%,Range Bound
PAY,23.200,-7.20%,Range Bound
ALB,63.810,-7.21%,Range Bound
AEGN,20.370,-7.23%,Range Bound
OPXA,1.6800,-10.64%,N/A
GOGO,25.980,-15.47%,Range Bound
JBL,15.690,-20.44%,Downtrend
TWGP,2.7400,-30.28%,Downtrend
WPCS,1.6390,-47.64%,N/A
