Pre-market Movers

Pre-market Movers
Symbol,Mark,Mark %Change,Volume
XBH,,,
TENZ/GSPTSE,,,
SOG/V,,,
$DXY,81.2340,,0
MTO/V,,,
$DJI,16441.650,,"123,898,138"
GSPC,,,
$GSPTSE,,,
NSP/V,,,
IXIC,,,
DJIA,,,
MIN/V,,,
COMP,4195.649,,0
RSPP,20.090,,"11,333,773"
KZD/V,,,
KONE,13.870,+180.21%,"1,343,482"
NIHD,2.9199,+21.66%,"23,583,464"
CTIC,3.655,+14.22%,"12,177,600"
RCAP,21.430,+11.91%,"133,979"
EA,24.045,+11.63%,"11,767,334"
MXWL,9.010,+11.37%,"1,440,070"
ILMN,138.542,+10.60%,"6,125,029"
ARQL,2.5700,+8.90%,"3,874,495"
KERX,15.450,+8.50%,"8,710,895"
SWKS,30.470,+6.46%,"10,985,022"
BBRY,8.990,+5.02%,"33,298,029"
PGH,6.490,+5.02%,"3,704,736"
SOCB,6.250,+4.87%,"24,166"
WBS,32.010,+4.54%,"642,681"
MIL,7.910,+4.22%,"247,326"
OMED,37.320,+4.04%,"873,085"
ARIA,7.010,+4.01%,"28,930,762"
SAND,5.200,+4.00%,"1,146,426"
MS,33.230,+3.84%,"24,590,933"
RFIL,6.470,+3.69%,"249,132"
STI,39.363,+3.56%,"6,879,132"
MNK,59.730,+3.37%,"1,087,762"
SGEN,47.920,+3.23%,"1,243,111"
GDX,23.345,+3.21%,"21,875,560"
AZZ,42.390,+2.96%,"205,965"
DNN,1.3328,+2.52%,"894,488"
NLST,1.3300,+2.31%,"7,312,799"
XCO,4.840,+2.11%,"6,385,456"
STAG,21.600,+1.98%,"216,045"
TWTR,61.650,+1.78%,"24,847,384"
HBM,8.930,+1.71%,"39,105"
SLB,90.060,+1.64%,"9,298,570"
OZRK,57.495,+1.64%,"217,872"
SHPG,148.480,+1.39%,"334,174"
SLV,19.570,+1.14%,"5,270,114"
FRX,68.910,+0.92%,"3,378,913"
GLD,120.820,+0.86%,"6,468,671"
VXX,41.280,+0.73%,"15,470,986"
BHI,54.120,+0.73%,"4,266,983"
IBB,247.990,+0.66%,"662,679"
GILD,78.410,+0.65%,"9,227,522"
HELE,57.600,+0.58%,"206,129"
FAZ,21.190,+0.57%,"2,274,823"
IBM,189.775,+0.54%,"5,344,499"
LYV,20.800,+0.48%,"716,937"
COL,77.365,+0.41%,"1,539,880"
RBCAA,24.390,+0.37%,"15,648"
CMA,47.590,+0.34%,"1,737,698"
RY,65.470,+0.28%,"426,985"
/ZB[H4],131'14,+0.26%,"181,332"
JNJ,94.860,+0.23%,"8,685,516"
IEF,100.930,+0.21%,"382,924"
BMO,66.260,+0.17%,"467,173"
/ZN[H4],124'150,+0.16%,"654,063"
SBGI,31.930,+0.13%,"1,020,628"
IYE,49.270,+0.12%,"266,498"
USO,33.690,+0.12%,"4,494,596"
XLE,86.240,+0.10%,"8,469,381"
TXN,43.410,+0.09%,"5,096,790"
FIVZ,78.870,+0.07%,250
IEI,120.676,+0.07%,"80,583"
SCHR,52.442,+0.07%,"12,014"
VGIT,63.151,+0.06%,"4,515"
VGSH,60.857,+0.04%,"26,120"
TWC,135.310,+0.01%,"2,266,056"
SHY,84.410,0.00%,"263,275"
BXC,1.7300,0.00%,"68,203"
TUZ,50.860,-0.02%,"2,950"
VHT,104.990,-0.04%,"336,996"
XLNX,47.240,-0.04%,"2,365,035"
IYH,120.620,-0.05%,"98,376"
IPHI,13.000,-0.08%,"84,445"
SIAL,92.640,-0.12%,"487,654"
IGV,83.740,-0.12%,"27,672"
XSD,62.040,-0.13%,"25,361"
XLV,56.990,-0.16%,"4,646,380"
TOT,59.458,-0.17%,"541,973"
VZ,48.440,-0.19%,"12,061,678"
CSX,27.185,-0.20%,"9,078,441"
XLF,21.950,-0.23%,"35,243,401"
HAL,50.765,-0.27%,"5,605,013"
CM,81.000,-0.28%,"126,367"
EXI,70.930,-0.30%,"28,023"
CMCSA,53.380,-0.30%,"8,570,261"
IPK,31.441,-0.35%,310
CELG,166.985,-0.37%,"2,380,264"
IVV,184.730,-0.39%,"2,666,495"
IWM,115.870,-0.40%,"18,358,196"
SPX,1838.140,-0.42%,0
SPY,183.640,-0.42%,"64,472,282"
PMR,32.800,-0.43%,"11,136"
AMTD,32.260,-0.43%,"2,553,777"
RTH,59.020,-0.46%,"14,496"
XRT,82.920,-0.52%,"2,239,912"
IGM,90.130,-0.52%,"7,915"
SAP,82.380,-0.52%,"903,317"
NXST,45.940,-0.52%,"493,012"
QQQ,87.860,-0.59%,"25,980,002"
FAS,91.140,-0.59%,"2,321,717"
IYJ,100.580,-0.59%,"88,914"
SOXX,73.050,-0.60%,"58,738"
NDAQ,39.740,-0.60%,"620,308"
XLK,35.730,-0.61%,"3,924,214"
XLI,51.761,-0.61%,"4,842,812"
VIS,99.550,-0.62%,"182,072"
TRV,86.700,-0.62%,"1,968,057"
UPS,99.865,-0.62%,"7,580,834"
EEM,39.740,-0.63%,"31,579,808"
EGN,68.520,-0.65%,"707,476"
LM,43.960,-0.66%,"1,512,119"
CHTR,134.030,-0.69%,"791,233"
IYK,93.770,-0.73%,"13,683"
WIT,13.420,-0.74%,"1,222,040"
VDC,107.530,-0.75%,"73,549"
XLP,42.070,-0.78%,"4,998,481"
IYW,88.896,-0.86%,"144,424"
FUEL,66.282,-0.91%,"265,734"
UNG,21.015,-1.20%,"3,838,818"
RDS/A,70.877,-1.20%,"5,928,196"
EFII,39.090,-1.54%,"192,826"
CNW,40.760,-1.55%,"1,825,002"
NKE,73.590,-1.60%,"3,620,811"
AGI,10.180,-1.64%,"464,519"
SIM,11.750,-1.84%,"11,878"
AAPL,542.070,-2.20%,"11,578,769"
CREE,62.420,-2.27%,"1,623,805"
